1954,5
1955,12
1956,12
1957,13
1958,18
1959,16
1960,13
1961,20
1962,19
1963,10
1964,35
1965,28
1966,23
1967,18
1968,14
1969,14
1970,10
1971,16
1972,17
1973,16
1974,12
1975,15
1976,20
1977,12
1978,16
1979,11
1980,16
1981,9
1982,7
1983,18
1984,9
1985,9
1986,8
1987,8
1988,9
1989,7
1990,13
1991,14
1992,13
1993,19
1994,14
1995,7
1996,23
1997,10
1998,10
1999,10
2000,16
2001,9
2002,12
2003,10
2004,15
2005,20
2006,9
2007,11
2008,23
2009,10
2010,15
